Key,Id,vi,en
"MIoT_ModifyPropertyFailed",7053948998344704,"Thay đổi thuộc tính {0} thất bại: {1}","Failed to modify {0} property: {1}"
"MIoT_Logout",7052100107198464,"Đăng xuất","Logout"
"MIoT_LoginSuccess",7052185847160832,"Đăng nhập thành công","Login Successful"
"MIoT_LoginFailed",7052351807381504,"Đăng nhập thất bại","Login Failed"
"MIoT_Login",7052053349097472,"Đăng nhập","Login"
"MIoT_Home",7052665411297280,"Nhà","House"
"MIoT_DeviceTips",7052790267338752,"Điều khiển bằng giọng nói các thiết bị IoT đã chọn bên dưới, thay đổi sẽ có hiệu lực sau khi khởi động lại","Voice control the selected IoT devices below, changes will take effect after restart"
"MIoT_ClearAll",7053570470797312,"Bỏ chọn tất cả","Clear Selection"
"MIoT_Account",7051894095568896,"ID người dùng/Email/Số điện thoại","User ID/Email/Phone"
"MIC_NOT_FOUND_TIPS",3314955657,"Không tìm thấy micro.","Microphone not found."
"LOADING_THINGS",7077900567142400,"Đang tải MIoT...","Loading MIoT..."
"LOADING_RESOURCES",3314955649,"Đang tải tài nguyên...","Loading resources..."
"LOADING_MODEL",3314955650,"Đang tải mô hình...","Loading model..."
"iOS_App_Info_User_Tracking_Usage_Desc",2159431325278208,"XiaoZhi cần truy cập mã định danh quảng cáo của bạn","XiaoZhi needs to access your advertising identifier"
"iOS_App_Info_Mic_Usage_Desc",2159389092831232,"XiaoZhi cần sử dụng micro để trò chuyện với bạn","XiaoZhi needs to use the microphone to talk with you"
"iOS_App_Info_Location_Usage_Desc",2159308025323520,"XiaoZhi cần truy cập vị trí của bạn","XiaoZhi needs to access your location"
"iOS_App_Info_Camera_Usage_Desc",2159087987941376,"XiaoZhi cần sử dụng camera của bạn","XiaoZhi needs to use your camera"
"App_Info_Short_Name",2160026320855040,"XiaoZhi Unity","XiaoZhi Unity"
"App_Info_Display_Name",2160154335207424,"XiaoZhi Unity","XiaoZhi Unity"
"ACTIVATION_FAILED_TIPS",3314955648,"Kích hoạt thất bại. Vui lòng thử khởi động lại ứng dụng.","Activation failed. Please try restarting the application."
"ACTIVATION_CODE_COPIED",2492018094,"Mã kích hoạt đã được sao chép. Bấm vào liên kết bên dưới để kích hoạt thiết bị.","Activation code copied. Click the link below to activate your device."
"ACTIVATION",3314955647,"Kích hoạt thiết bị","Activate Device"
"MIoT_Password",7900086924173312,"Mật khẩu","Password"
"MIoT_RefreshSuccess",7957408966991872,"Làm mới thành công","Refresh Successful"
"CONNECTION_CLOSED_TIPS",8675432594366464,"Kết nối đã bị đóng","Connection was closed"
"SettingsUI_ZoomMode_LongShot",49667773039599616,"Cảnh xa","LongShot"
"SettingsUI_ZoomMode_MediumShot",49667893739085824,"Cảnh trung","MediumShot"
"SettingsUI_ZoomMode_CloseUp",49667904732356608,"Cận cảnh","CloseUp"
"SettingsUI_ZoomMode",49668220370509824,"Ống kính","Lens"
